MCTC - Tomek; MCTC
MapaTurbines - Tomek;  Mapa Turbines
Skaner Bez - Tomek; brak w clocifi 
Przemek; brak w clocifi
Ekipa - Przemek, Tomek;  BOIT
Handel; brak w clocifi
Szkolenia - Przemek, Tomek;  Spark Academy
Strony WWW -WP;  Las ogród oraz Seve oraz  Sonologistic
Britenet;  Britenet
Utrzymanie spółki;  SparkSome
SoEasy IT; Soeasy IT
Marketing; SparkSome
Jsystems;  Szkolenia
BezPilota; brak w clocify
Clouds On Mars; COM
ProGea 4D; brak w clocify
CGM; brak w clocify
Radomsko;  Radomska Stacja Pogotowia Ratunkowego
Obsługa przetargów;  SparkSome
